employee_division,calendar_date,week_no,holiday_flag
11,2019/05/14,2,0
11,2019/05/15,3,0
11,2019/05/16,4,0
11,2019/05/17,5,0
11,2019/05/18,6,1
11,2019/05/19,0,1
11,2019/05/20,1,0
11,2019/05/21,2,0
11,2019/05/22,3,0
11,2019/05/23,4,0
11,2019/05/24,5,0
11,2019/05/25,6,1
11,2019/05/26,0,1
11,2019/05/27,1,0
11,2019/05/28,2,0
11,2019/05/29,3,0
11,2019/05/30,4,0
11,2019/05/31,5,0
11,2019/06/01,6,1
11,2019/06/02,0,1
11,2019/06/03,1,0
11,2019/06/04,2,0
11,2019/06/05,3,0
11,2019/06/06,4,0
11,2019/06/07,5,0
11,2019/06/08,6,1
11,2019/06/09,0,1
11,2019/06/10,1,0
11,2019/06/11,2,0
11,2019/06/12,3,0
11,2019/06/13,4,0
11,2019/06/14,5,0
11,2019/06/15,6,1
11,2019/06/16,0,1
11,2019/06/17,1,0
11,2019/06/18,2,0
11,2019/06/19,3,0
11,2019/06/20,4,0
11,2019/06/21,5,0
11,2019/06/22,6,1
11,2019/06/23,0,1
11,2019/06/24,1,0
11,2019/06/25,2,0
11,2019/06/26,3,0
11,2019/06/27,4,0
11,2019/06/28,5,0
11,2019/06/29,6,1
11,2019/06/30,0,1
